,Producteur,Drapeau,Pays,Tonnes de saumon 2022,Nom commercial,Date de création,Siège,Site internet,Revenus 2022,Employés 2022,Note
0,Cooke,🇨🇦,Canada,86000,Cooke Inc. / Cooke Aquaculture,1985,"New Brunswick, Canada",https://cookeseafood.com/,~4000000000,~13000,No public information or report found
1,Aquachile,🇨🇱,Chile,138000,Empresas Aquachile SA,1998,"Puerto Montt, Chile",http://www.aquachile.com/,1420552446,5827,
2,Multi X,🇨🇱,Chile,77000,Multiexport Foods SA,1983,"Puerto Montt, Chile",https://www.multi-xsalmon.com/en/,611580492,2586,
3,Australis Seafood,🇨🇱,Chile,75000,Australis Seafood SA (Joyvio Food),2003,"Puerto Varas, Chile",https://www.australis-seafoods.com/en/,621235249,2539,
4,Bakkafrost,🇫🇴,Faroe Islands,91000,P/F Bakkafrost,1968,"Glyvar, Faroe Islands",https://www.bakkafrost.com/en,989040000,1778,
5,Cermaq,🇯🇵,Japan,171000,Cermaq Group AS (Mutsubishi Corporation),1995,"Oslo, Norvège",https://www.cermaq.com/,1380000000,2790,
6,Mowi,🇳🇴,Norway,472000,MOWI ASA,1964,"Bergen, Norway",https://mowi.com/,4940800000,11500,
7,Salmar,🇳🇴,Norway,194000,SalMar ASA,1991,"Frøya, Norway",https://www.salmar.no/en,2001106552,2266,
8,Lerøy Seafood,🇳🇴,Norway,152000,Lerøy Seafood Group ASA,1899,"Bergen, Norway",https://www.leroyseafood.fr/,2781456517,5972,
9,Grieg Seafood,🇳🇴,Norway,88000,Grieg Seafood,1992,"Bergen, Norway",https://griegseafood.com/,747821304,718,
