,Parent company,Production Max,Link info (no text),Technologie,Species,Latest update,Country,Location,Location source,Carbon intensity of electricity - gCO2/kWh,elec_conso_kWh_low,elec_conso_kWh_high,carbon_kt_low,carbon_kt_high,Detailed status,Status,Lat,Long
0,Atlantic Sapphire,200000.0,https://www.seafoodsource.com/news/aquaculture/despite-setbacks-atlantic-sapphire-still-bullish-on-future-of-miami-salmon-ras,RAS,Atlantic Salmon,2023.0,United States,"Homstead, Florida",https://www.fishfarmingexpert.com/atlantic-sapphire-florida/summers-a-bummer-for-atlantic-sapphire/1553635,368.10196,1918000000.0,4520000000.0,1322.01955928,2279.8208592,Operating,Operating,25.46875906,-80.4810783
1,Norwegian Mountain Salmon,90000.0,https://thefishsite.com/articles/is-lewis-set-for-a-90-000-tonne-underground-salmon-farm,Hybrid FTS/RAS,Atlantic Salmon,2024.0,United Kingdom,"Mealista, Isle of Lewis",https://www.stornowaygazette.co.uk/business/mountain-salmon-plans-for-mealista-4528528,261.1549,863100000.0,2034000000.0000002,502.60279419,808.3890666,Conceptual,Project,58.10483082,-7.102022045
2,"Ardal Aqua, Grieg Seafood",15000.0,https://www.seafoodsource.com/news/aquaculture/grieg-enters-joint-venture-for-post-smolt-land-based-salmon-farming ,RAS,Atlantic Salmon,2021.0,Norway,"Årdal, Rogaland",https://www.seafoodsource.com/news/aquaculture/grieg-enters-joint-venture-for-post-smolt-land-based-salmon-farming ,28.924809,143850000.0,339000000.0,50.360833774650004,56.005510251000004,In construction,In construction,59.1515335,6.1672076
3,Averoy Industripark ,20000.0,https://www.salmonbusiness.com/new-player-plans-to-produce-25000-tonnes-of-land-based-salmon/,RAS,Atlantic Salmon,2021.0,Norway,"Smedvågen, Averøy",https://www.salmonbusiness.com/new-player-plans-to-produce-25000-tonnes-of-land-based-salmon/,28.924809,191800000.0,452000000.0,67.1477783662,74.674013668,Permit,Project,63.077521,7.659596
4,Baring Farsund,24000.0,https://www.fishfarmingexpert.com/baring-group-landbased-salmon-norway/norway-cycling-great-hushovd-invests-in-land-based-salmon-farm/1499527,RAS,Atlantic Salmon,2023.0,Norway,"Lundevågen, Farsund",https://www.baring.no/news,28.924809,230160000.0,542400000.0,80.57733403944,89.6088164016,Permit,Project,58.083577,6.781864
5,Baring Farsund,10000.0,https://www.salmonbusiness.com/baring-considers-second-land-based-salmon-farm/,RAS,Atlantic Salmon,2020.0,Norway,Grimstad,https://www.salmonbusiness.com/baring-considers-second-land-based-salmon-farm/,28.924809,95900000.0,226000000.0,33.5738891831,37.337006834,Conceptual,Project,58.3294505,8.5711042
6,Berliner Land Lachs ,5000.0,https://www.salmonbusiness.com/landlachs-building-5000-tonne-land-based-salmon-farm/,RAS,Atlantic Salmon,2021.0,Germany,Eberswalde,https://www.landlachs.de/,385.38934,47950000.0,113000000.0,33.879418853,58.948995419999996,Conceptual,Project,52.8497774,13.7452096
7,Blom Salmon ,30000.0,https://www.salmonbusiness.com/blom-fiskeoppdrett-aiming-for-new-20000-tonne-a-year-land-based-salmon-farm/,RAS,Atlantic Salmon,2019.0,Norway,Oksneset,https://www.salmonbusiness.com/blom-fiskeoppdrett-aiming-for-new-20000-tonne-a-year-land-based-salmon-farm/,28.924809,287700000.0,678000000.0,100.72166754930001,112.01102050200001,Conceptual,Project,60.5563414,4.8731555
8,Nordic Aquafarms,33000.0,https://www.rastechmagazine.com/nordic-aquafarms-loses-two-leases-for-belfast-ras-facility/,RAS,Atlantic Salmon,2023.0,United States,"Belfast, Maine",https://www.seafoodsource.com/news/aquaculture/us-land-based-aquaculture-projects-making-funding-permitting-progress,368.10196,316470000.0,745800000.0,218.1332272812,376.170441768,Local opposition,Project,44.42499701,-69.00686217
9,Bolaks,10000.0,https://www.undercurrentnews.com/2021/08/10/norways-bolaks-gets-green-light-for-10000t-post-smolt-facility/,RAS,Atlantic Salmon,2021.0,Norway,Bogoya,https://www.undercurrentnews.com/2021/08/10/norways-bolaks-gets-green-light-for-10000t-post-smolt-facility/,28.924809,95900000.0,226000000.0,33.5738891831,37.337006834,Permit,Project,63.8717983,8.5495004
